submission_dir,name,org,os_model,os_system,resolved,rate,ci_lo,ci_hi,n_no_generation,n_no_logs
20250520_openhands_devstral_small,OpenHands + DevStral Small 2505,"['OpenHands', 'Mistral']",True,True,234,0.468,0.4246740655847347,0.511813892212444,5,3
20241023_emergent,Emergent E1 (v2024-10-12),,False,False,233,0.466,0.4227007771199922,0.5098176780395102,2,0
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,AutoCodeRover-v2.0 (Claude-3.5-Sonnet-20241022),,False,True,231,0.462,0.41875629482254567,0.505823155061604,4,0
20250528_patchpilot_Co-PatcheR,PatchPilot + Co-PatcheR,,True,True,230,0.46,0.41678510219408244,0.5038248450523909,0,0
20240924_solver,Solver (2024-09-12),,False,False,227,0.454,0.4108757263390157,0.49782571299442857,2,0
20240824_gru,Gru(2024-08-24),,False,False,226,0.452,0.40890733747481184,0.49582459922095606,0,2
20251110_frogmini-14b,FrogMini-14B-2510,['Microsoft'],False,True,225,0.45,0.40693965144722477,0.4938227826108669,5,1
20250118_codeshellagent_gemini_2.0_flash_experimental,CodeShellAgent + Gemini 2.0 Flash (Experimental),,False,False,221,0.442,0.39907595281025166,0.4858084706971346,13,1
20240920_solver,Solver (2024-09-12),,False,False,218,0.436,0.3931856027916929,0.47979031280266426,4,0
20250214_agentless_lite_o3_mini,Agentless Lite + O3 Mini (20250214),Agentless,False,True,212,0.424,0.3814241174650662,0.46773478230323295,10,0
20250527_amazon.nova-premier-v1.0,Amazon Nova Premier 1.0 (2025-04-30),Amazon Nova,False,False,212,0.424,0.3814241174650662,0.46773478230323295,15,0
20250629_deepswerl_r2eagent,DeepSWE-Preview,['Agentica'],True,True,211,0.422,0.37946637465262023,0.46572302247800257,45,0
20250806_SWE-Exp_DeepSeek-V3,20250806_SWE-Exp_DeepSeek-V3,,,,210,0.42,0.3775093509495038,0.46371054354344265,32,0
20241030_nfactorial,nFactorial (2024-10-30),,False,False,208,0.416,0.37359746646616937,0.45968342275142443,3,0
20250112_ugaiforge,ugaiforge,,False,False,208,0.416,0.37359746646616937,0.45968342275142443,7,0
20250226_swerl_llama3_70b,SWE-RL (Llama3-SWE-RL-70B + Agentless Mini) (20250226),Agentless,False,True,206,0.412,0.36968847560518575,0.4556534083370553,0,1
20241016_composio_swekit,Composio SWEkit + Claude 3.5 Sonnet (2024-10-16),,False,True,203,0.406,0.36383044180948776,0.4496029342197244,0,0
20241022_tools_claude-3-5-haiku,Tools + Claude 3.5 Haiku,Anthropic,False,False,203,0.406,0.36383044180948776,0.4496029342197244,16,3
20241113_nebius-search-open-weight-models-11-24,Nebius AI Qwen 2.5 72B Generator + LLama 3.1 70B Critic,,False,False,203,0.406,0.36383044180948776,0.4496029342197244,1,0
20240820_honeycomb,Honeycomb,,False,False,203,0.406,0.36383044180948776,0.4496029342197244,14,47
20250511_sweagent_lm_32b,SWE-agent + SWE-agent-LM-32B,SWE-agent,True,True,201,0.402,0.35992874000256914,0.4455656307512903,4,0
20241029_epam-ai-run-claude-3-5-sonnet,EPAM AI/Run Developer Agent v20241029 + Anthopic Claude 3.5 Sonnet,,False,False,198,0.396,0.35408170318072374,0.4395041596601067,25,0
20240721_amazon-q-developer-agent-20240719-dev,Amazon Q Developer Agent (v20240719-dev),AWS,False,False,194,0.388,0.3462960290301564,0.4314118232599687,1,0
20241028_agentless-1.5_gpt4o,Agentless-1.5 + GPT 4o (2024-05-13),Agentless,False,True,194,0.388,0.3462960290301564,0.4314118232599687,4,0
20240628_autocoderover-v20240620,AutoCodeRover (v20240620) + GPT 4o (2024-05-13),,False,False,192,0.384,0.3424076742989976,0.42736117271577473,0,0
